Topic,Topic_url,Item_description,Rating_out_of_5,Minimum_price,Maximum_price,Review,Item_Url
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Pink Kid-Proof Case",4.7,69.9,0.0,122400,www.amazon.com/Fire-HD-8-Kids-Edition-tablet/dp/B07WJS3QDX/ref=zg_bs_amazon-devices_sccl_27/142-0406831-1305737?pd_rd_i=B07WJS3QDX&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire TV Cube, Hands-free streaming device with Alexa, 4K Ultra HD, includes latest Alexa Voice Remote",4.7,69.9,0.0,14998,www.amazon.com/Hands-free-streaming-device-Alexa-Ultra/dp/B08XMDNVX6/ref=zg_bs_amazon-devices_sccl_28/142-0406831-1305737?pd_rd_i=B08XMDNVX6&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"All-new Fire 7 tablet, 7” display, 16 GB, 30% faster processor, designed for entertainment, (2022 release), Black",4.4,44.9,0.0,929,www.amazon.com/Fire-7-Tablet/dp/B096WKKK2K/ref=zg_bs_amazon-devices_sccl_29/142-0406831-1305737?pd_rd_i=B096WKKK2K&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Chime Pro,4.6,59.9,0.0,36347,www.amazon.com/Ring-Chime-Pro/dp/B07WML2XTD/ref=zg_bs_amazon-devices_sccl_30/142-0406831-1305737?pd_rd_i=B07WML2XTD&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Insignia 32-inch Class F20 Series Smart HD 720p Fire TV (NS-32DF310NA19, 2018 Model)",4.6,99.9,0.0,80820,www.amazon.com/Insignia-NS-32DF310NA19-32-inch-720p-Smart/dp/B07FPP6TB5/ref=zg_bs_amazon-devices_sccl_1/134-8038051-8401804?pd_rd_i=B07FPP6TB5&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light - Without Lockscreen Ads",4.7,129.0,0.0,12939,www.amazon.com/All-new-Kindle-Paperwhite-GB-adjustable/dp/B09RD7XM9X/ref=zg_bs_amazon-devices_sccl_2/134-8038051-8401804?pd_rd_i=B09RD7XM9X&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Kindle Paperwhite Fabric Cover (11th Generation-2021),4.7,26.9,0.0,13299,www.amazon.com/Kindle-Paperwhite-Fabric-Cover-Generation-2021/dp/B08VZCBWN8/ref=zg_bs_amazon-devices_sccl_3/134-8038051-8401804?pd_rd_i=B08VZCBWN8&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Glow - Multicolor smart lamp for kids, a Certified for Humans Device – Requires compatible Alexa device",4.6,19.99,30.98,39166,www.amazon.com/Echo-Glow/dp/B07KRY43KN/ref=zg_bs_amazon-devices_sccl_4/134-8038051-8401804?pd_rd_i=B07RR5WZCR&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",4.5,29.9,0.0,8497,www.amazon.com/alexa-voice-remote-with-power-and-volume-controls/dp/B08D6WJYD9/ref=zg_bs_amazon-devices_sccl_5/134-8038051-8401804?pd_rd_i=B08D6WJYD9&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – ",4.4,249.0,0.0,135465,www.amazon.com/Blink-Outdoor-Wireless-Security-Camera-3cam/dp/B086DKSHQ4/ref=zg_bs_amazon-devices_sccl_6/134-8038051-8401804?pd_rd_i=B086DKSHQ4&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 8 Plus tablet, HD display, 32 GB, latest model (2020 release), our best 8"" tablet for portable entertainment, Slate",4.5,59.9,0.0,36922,www.amazon.com/Fire-HD-8-Plus-tablet/dp/B0839NDRB2/ref=zg_bs_amazon-devices_sccl_7/134-8038051-8401804?pd_rd_i=B0839NDRB2&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Video Doorbell 4 – improved 4-second color video previews plus easy installation, and enhanced wifi – 2021 release",4.6,219.99,269.99,6391,www.amazon.com/Ring-Video-Doorbell-4/dp/B08JNR77QY/ref=zg_bs_amazon-devices_sccl_8/134-8038051-8401804?pd_rd_i=B08Y716P6G&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Video Doorbell 3 – enhanced wifi, improved motion detection, easy installation",4.6,199.99,239.98,38412,www.amazon.com/Ring-Video-Doorbell-3/dp/B0849J7W5X/ref=zg_bs_amazon-devices_sccl_9/134-8038051-8401804?pd_rd_i=B085884FTD&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Charging Station with 2-pack Quick Release Battery Packs,4.8,89.9,0.0,99037,www.amazon.com/Ring-Charging-Station-Release-Battery/dp/B08HRX74PF/ref=zg_bs_amazon-devices_sccl_10/134-8038051-8401804?pd_rd_i=B08HRX74PF&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable entertainment, Plum",4.6,49.9,0.0,157904,www.amazon.com/Fire-HD-8-tablet/dp/B07WGL828F/ref=zg_bs_amazon-devices_sccl_11/134-8038051-8401804?pd_rd_i=B07WGL828F&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Insignia 43-inch Class F30 Series LED 4K UHD Smart Fire TV (NS-43F301NA22, 2021 Model)",4.6,189.0,0.0,5880,www.amazon.com/Insignia-43-inch-Class-Smart-Fire/dp/B08X7K3H7K/ref=zg_bs_amazon-devices_sccl_12/134-8038051-8401804?pd_rd_i=B08X7K3H7K&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Blink USB flash drive for local video storage with the Blink Sync Module 2,4.5,14.9,0.0,14633,www.amazon.com/Blink-USB-Flash-Drive/dp/B084SD48DM/ref=zg_bs_amazon-devices_sccl_13/134-8038051-8401804?pd_rd_i=B084SD48DM&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Dot (4th Gen) Kids | Our cutest Echo designed for kids, with parental controls | Panda",4.7,34.9,0.0,33096,www.amazon.com/Echo-Designed-parental-controls-Panda/dp/B084J4MJCK/ref=zg_bs_amazon-devices_sccl_14/134-8038051-8401804?pd_rd_i=B084J4MJCK&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Amazon Ethernet Adapter for Amazon Fire TV Devices,4.5,14.9,0.0,66043,www.amazon.com/Amazon-Ethernet-Adapter-Fire-Devices/dp/B074TC662N/ref=zg_bs_amazon-devices_sccl_15/134-8038051-8401804?pd_rd_i=B074TC662N&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Amazon eero 6 mesh Wi-Fi system | Smart home hub | Manage family profiles | Setup up in minutes | 3-pack, one router + two ex",4.5,169.0,0.0,14919,www.amazon.com/Amazon-eero-6-3-pack/dp/B085WSCTS4/ref=zg_bs_amazon-devices_sccl_16/134-8038051-8401804?pd_rd_i=B085WSCTS4&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Insignia 24-inch Class F20 Series Smart HD 720p Fire TV (NS-24DF310NA21, 2020 Model)",4.6,89.9,0.0,80820,www.amazon.com/All-New-Insignia-NS-24DF310NA21-24-inch-Smart/dp/B0874YZVWK/ref=zg_bs_amazon-devices_sccl_17/134-8038051-8401804?pd_rd_i=B0874YZVWK&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - Black",4.7,59.9,0.0,77694,www.amazon.com/Ring-Indoor-Compact-security-two-way/dp/B07Q769B5X/ref=zg_bs_amazon-devices_sccl_18/134-8038051-8401804?pd_rd_i=B07Q769B5X&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,Ring Alarm Contact Sensor (2nd Gen),4.7,19.99,99.99,20911,www.amazon.com/Ring-Alarm-Contact-Sensor/dp/B07ZB2QLC2/ref=zg_bs_amazon-devices_sccl_19/134-8038051-8401804?pd_rd_i=B0866TMCMQ&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Made for Amazon, USB Power Cable (Eliminates the Need for AC Adapter)",4.6,21.9,0.0,41569,www.amazon.com/Amazon-Mission-Power-Eliminates-Adapter/dp/B078KSHVCS/ref=zg_bs_amazon-devices_sccl_20/134-8038051-8401804?pd_rd_i=B078KSHVCS&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Slate",4.6,129.0,0.0,20004,www.amazon.com/Fire-HD-10-Plus-tablet/dp/B08F6FYN6B/ref=zg_bs_amazon-devices_sccl_21/134-8038051-8401804?pd_rd_i=B08F6FYN6B&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"No-Drill Mount for Ring Video Doorbell 3, Ring Video Doorbell 3 Plus or Ring Video Doorbell 4",4.3,17.99,19.99,3981,www.amazon.com/No-Drill-Mount-Ring-Video-Doorbell/dp/B086F24DK9/ref=zg_bs_amazon-devices_sccl_22/134-8038051-8401804?pd_rd_i=B08DLTB25K&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – ",4.4,99.9,0.0,135465,www.amazon.com/Blink-Outdoor-Wireless-Security-Camera/dp/B086DKSYTS/ref=zg_bs_amazon-devices_sccl_23/134-8038051-8401804?pd_rd_i=B086DKSYTS&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,2-Year Accident Protection for Fire HD 10 (11th Generation),0.0,24.9,0.0,0,www.amazon.com/Test-Product-Not-retail-sale/dp/B08BX7VCD4/ref=zg_bs_amazon-devices_sccl_24/134-8038051-8401804?pd_rd_i=B08BX7VCD4&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",4.7,199.0,0.0,16751,www.amazon.com/Ring-Floodlight-Cam-Wired-Plus/dp/B08F6GPQQ7/ref=zg_bs_amazon-devices_sccl_25/134-8038051-8401804?pd_rd_i=B08F6GPQQ7&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Fire HD 10 tablet, 10.1”, 1080p Full HD, 64 GB, latest model (2021 release), hands-free with Alexa, Black",4.6,119.0,0.0,86261,www.amazon.com/Fire-HD-10-tablet/dp/B08BX8CW9V/ref=zg_bs_amazon-devices_sccl_26/134-8038051-8401804?pd_rd_i=B08BX8CW9V&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Glacier White",4.7,94.9,0.0,41591,www.amazon.com/Echo-Show-8-2nd-Gen-2021-release/dp/B084DC4LW6/ref=zg_bs_amazon-devices_sccl_27/134-8038051-8401804?pd_rd_i=B084DC4LW6&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Ring Stick Up Cam Solar HD security camera with two-way talk, Works with Alexa - White",4.7,139.0,0.0,10363,www.amazon.com/All-new-Ring-Stick-Up-Cam-Solar-HD-security-camera-with-two-way-talk-Works-with-Alexa-/dp/B07W7G23ZG/ref=zg_bs_amazon-devices_sccl_28/134-8038051-8401804?pd_rd_i=B07W7G23ZG&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",4.7,19.9,0.0,5111,www.amazon.com/Amazon-Official-Charger-Adapter-eReaders/dp/B01I0IGFKC/ref=zg_bs_amazon-devices_sccl_29/134-8038051-8401804?pd_rd_i=B01I0IGFKC&psc=1
Amazon Devices & Accessories,http://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – Unlimited Cloud Photo Storage – Digital Photo Display - ",4.7,64.9,0.0,270803,www.amazon.com/Echo-Show-8/dp/B07PF1Y28C/ref=zg_bs_amazon-devices_sccl_30/134-8038051-8401804?pd_rd_i=B07PF1Y28C&psc=1
Amazon Explore,http://www.amazon.com/Best-Sellers-Amazon-Explore/zgbs/us-live-explorations/ref=zg_bs_nav_0,Get up-close with wild animals in Costa Rica at the Toucan Rescue Ranch,4.8,7.5,27.3,401,www.amazon.com/Amazon-Explore-virtually-tour-a-Costa-Rican-exotic-animal-rescue/dp/B089T4KVX9/ref=zg_bs_us-live-explorations_sccl_1/131-7246975-0976368?pd_rd_i=B0964CSQ5R&psc=1
Amazon Explore,http://www.amazon.com/Best-Sellers-Amazon-Explore/zgbs/us-live-explorations/ref=zg_bs_nav_0,Meet maras and other fascinating Argentinian animals in Buenos Aires' Ecoparque,4.8,5.0,20.3,30,www.amazon.com/fascinating-Argentinian-animals-Buenos-Ecoparque/dp/B08X4VY9KK/ref=zg_bs_us-live-explorations_sccl_2/131-7246975-0976368?pd_rd_i=B09CT3B2D7&psc=1
